Timestamp,rsync Duration (s),GitRsync Duration (s),Time Difference (s)
2024-07-19 18:59:25,34,126,-92
2024-07-19 19:03:34,108,113,-5
2024-07-22 10:34:15,110,115,-5
2024-07-22 11:08:15,118,110,8
2024-07-22 11:16:58,106,117,-11
2024-07-22 11:23:50,104,107,-3
2024-07-22 11:30:29,108,110,-2
2024-07-22 11:34:40,107,116,-9
2024-07-22 11:44:47,106,102,4
2024-07-22 11:50:25,105,106,-1
2024-07-22 11:57:37,104,107,-3
2024-07-22 13:18:46,117,124,-7
2024-07-22 13:25:36,112,113,-1
2024-07-22 13:37:42,111,111,0
2024-07-22 13:43:56,106,114,-8
2024-07-22 14:01:59,107,108,-1
2024-07-22 14:16:51,107,105,2
2024-07-22 14:32:25,111,114,-3
2024-07-22 16:05:13,104,116,-12
2024-07-22 16:30:41,122,118,4
2024-07-22 17:23:02,0,80,-80
2024-07-23 10:11:53,113,118,-5
2024-08-13 11:27:55,0,110,-110
2024-08-13 14:06:26,111,119,-8
2024-08-13 15:06:04,121,118,3
2024-08-14 21:08:18,170,178,-8
